Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
7/10/17,Pacific Science Center,6/13/17,605,Name; Social Security Number; Other
7/6/17,Four Seasons Hotels Limited,8/10/16,636,Name; Financial & Banking Information; Other
7/5/17,Loews Hotels & Co.,8/29/16,912,Name; Financial & Banking Information; Other
6/30/17,Preferred Hotel Group,8/10/16,2370,Name; Financial & Banking Information
6/22/17,GOLFTEC,3/2/17,653,Unknown
6/22/17,Caliber Home Loans,,20437,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record); Military ID Number
6/20/17,Home Point Financial Corporation,11/1/16,815,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
6/19/17,Kayser-Roth Inc.,2/1/16,1973,Name; Other
6/8/17,Washington State University,,769088,Name; Social Security Number; Medical Information; Other
6/6/17,"Airway Oxygen, Inc.",,78,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/5/17,"GameStop, Inc.",8/10/16,27956,Name; Financial & Banking Information; Other
5/31/17,BMO Harris Bank,5/15/17,47,Name; Other
5/26/17,"Kennewick Public Hospital District, dba Trios Health",10/23/13,942,Name; Medical Information
5/24/17,"Incipio, LLC",2/26/16,1650,Name; Financial & Banking Information; Other
5/19/17,Zillow,5/9/17,1086,Name; Social Security Number; Other
5/17/17,"Rite Aid Online Store, Inc.",1/30/17,657,Name; Financial & Banking Information; Other
5/16/17,"Nicopure Labs, LLC",,541,Name; Financial & Banking Information; Other
5/15/17,Kuru Footwear,12/20/16,513,Name; Financial & Banking Information; Other
5/15/17,TALX Corporation,1/4/16,1467,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
5/12/17,Indigo Wild,11/14/16,501,Name; Financial & Banking Information; Other
5/12/17,Brooks Brothers,4/4/16,Unknown,Name; Financial & Banking Information
5/9/17,Seattle Indian Health Board,8/10/16,4579,Unknown
5/5/17,"Solera Holdings, Inc.",,33,Name; Financial & Banking Information; Other
5/4/17,Metro Parks Tacoma,5/3/17,23,Name; Social Security Number; Full Date of Birth; Other
4/25/17,Seattle Housing Authority,,1500,Unknown
4/25/17,Hill Country Memorial Hospital,2/21/17,5,Name; Social Security Number; Full Date of Birth; Medical Information; Other
4/18/17,Pacific Lutheran University,1/23/17,813,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
4/14/17,Six Continents Hotels,9/29/16,13825,Name; Financial & Banking Information
4/12/17,"ILKB, LLC",10/1/16,1140,Name; Financial & Banking Information; Other
4/9/17,Lake Kennedy McCulluch CPAs PS,1/30/17,1688,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
4/4/17,Tempur-Pedic,2/26/16,7366,Name; Financial & Banking Information; Other
3/27/17,"Easy Breathe, Inc.",,2034,Name; Financial & Banking Information; Other
3/17/17,People for People,10/20/16,821,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Other
3/16/17,"Northwest Christian Schools, Inc.",2/11/17,526,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
3/10/17,Bambeco Inc.,2/26/16,2176,Name; Financial & Banking Information; Other
3/8/17,prAna,12/14/16,18172,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
3/8/17,Atlantic Cigar,2/26/16,803,Name; Financial & Banking Information; Other
3/7/17,Russell Investments,2/22/17,1291,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
3/6/17,West Music Company,2/26/16,1495,Name; Financial & Banking Information; Other
2/25/17,Alpha Industries,2/26/16,1013,Name; Financial & Banking Information; Other
2/25/17,"Vapour Organic Beauty, LLC",2/26/16,847,Name; Financial & Banking Information; Other
2/25/17,"Movie Mars, Inc.",2/26/16,524,Name; Financial & Banking Information; Other
2/25/17,"Nutrex Hawaii, Inc.",2/26/16,725,Name; Financial & Banking Information; Other
2/25/17,"Plow and Hearth, LLC",2/26/16,1274,Name; Financial & Banking Information; Other
2/25/17,"New England Biolabs, Inc.",2/26/16,746,Name; Financial & Banking Information; Other
2/25/17,"Blue Mercury, Inc.",2/26/16,778,Name; Financial & Banking Information; Other
2/25/17,"Century, LCC",2/26/16,639,Name; Financial & Banking Information; Other
2/24/17,Mrs Prindables,2/26/16,784,Name; Financial & Banking Information; Other
2/24/17,"Pasco Rentals, Inc.",1/12/17,6300,Name; Driver's License or Washington ID Card Number; Other
2/24/17,BENCHMARK,10/23/16,261,Name; Financial & Banking Information
2/24/17,"Affy Tapple, LLC d/b/a Affy Tapple",2/26/16,19,Name; Financial & Banking Information; Other
2/24/17,Roberts Hawaii,7/30/15,1178,Name; Financial & Banking Information; Other
2/23/17,Abbott Nutrition,6/1/13,1819,Name; Financial & Banking Information; Other
2/22/17,"InterMountain Management, LLC",2/3/17,558,Name; Social Security Number; Other
2/22/17,Intex Recreation Corp.,4/24/16,1547,Name; Financial & Banking Information; Other
2/8/17,The Boeing Company,11/21/16,7288,Name; Social Security Number; Full Date of Birth; Other
2/3/17,"Conover Capital Management, LLC and Conover Securities Corporation",11/16/16,1197,Name; Social Security Number; Driver's License or Washington ID Card Number; Other
1/27/17,Saturna Capital Corporation,1/18/17,2,Name; Social Security Number; Full Date of Birth; Other
1/18/17,"CoPilot Provider Support Services, Inc.",,1522,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
1/12/17,"Spiraledge, Inc.",5/2/16,9700,Name; Financial & Banking Information; Other
12/21/16,Community Health Plan of Washington,1/16/16,353388,Name; Social Security Number; Health Insurance Policy or ID Number; Other
12/20/16,Western Union Financial Services,,2470,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
11/30/16,CHI Franciscan Health- Hospice Tacoma,10/18/16,1223,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information; Other
11/22/16,The Madison Square Garden Company,11/9/15,Unknown,Name; Financial & Banking Information
11/21/16,Island Hotel Company Limited,3/9/16,Unknown,Name; Financial & Banking Information
11/18/16,Michigan State University,11/13/16,Unknown,Name; Social Security Number; Full Date of Birth; Student ID Number; Other
11/18/16,Springfield Armory,10/3/15,512,Name; Financial & Banking Information; Other
11/11/16,Charles Schwab,,975,Name; Financial & Banking Information; Other
11/9/16,UFCW Local 655 Food Employers Pension Plan,,556,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
11/9/16,Eileen Fisher Inc.,9/7/16,755,Name; Financial & Banking Information; Other
11/4/16,Rebecca Minkoff LLC,,549,Name; Financial & Banking Information; Username and Password/Security Question Answers
10/19/16,Eastwood Company,5/29/16,633,Name; Financial & Banking Information; Other
10/12/16,Vera Bradley,7/25/16,22,Name; Financial & Banking Information
9/30/16,Vaupell,9/12/16,1198,Name; Social Security Number; Full Date of Birth; Other
9/23/16,Group Health Cooperative,8/31/16,651,Unknown
9/19/16,ACTIVEOutdoors,,1449645,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Other
9/19/16,"Ascensus, Inc.",,1505,Name; Social Security Number; Full Date of Birth; Other
9/2/16,Noble House Hotels,,1463,Name; Financial & Banking Information
8/31/16,Kimpton Hotels & Restaurants,2/16/16,5428,Name; Financial & Banking Information
8/31/16,Highline Medical Center,4/21/16,12724,Name; Social Security Number; Health Insurance Policy or ID Number; Other
8/30/16,"Presnell Gage, PLLC",7/16/16,2613,Name; Social Security Number; Financial & Banking Information
8/22/16,KontrolFreek,10/21/15,625,Name; Financial & Banking Information
8/18/16,Eddie Bauer,1/2/16,73508,Name; Financial & Banking Information
8/12/16,"Valley Anesthesiology Consultants, Inc.",3/30/16,611,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
8/5/16,The Caroline Kline Galland Home,6/13/16,12,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
8/3/16,Banner Health,6/17/16,7916,Name; Social Security Number; Full Date of Birth; Medical Information; Other
7/19/16,CiCi Enterprises,3/1/16,Unknown,Financial & Banking Information
7/19/16,San Antonio Shoemakers,4/21/16,511,Name; Financial & Banking Information
7/16/16,"NLU Products, LLC",4/1/15,2527,Name; Financial & Banking Information; Other
7/8/16,Omni Hotels and Resorts,12/23/15,316,Financial & Banking Information
7/6/16,Wendy's,12/2/15,Unknown,Financial & Banking Information
6/28/16,Noodles & Company,1/31/16,Unknown,Financial & Banking Information
6/27/16,Hard Rock Hotel & Casino Las Vegas,10/27/15,Unknown,Financial & Banking Information
6/16/16,Uber Technologies,5/13/14,1355,Name; Driver's License or Washington ID Card Number
6/13/16,The Tax Shack,5/27/16,1000,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
6/10/16,Grand Sierra Resort,2/19/14,1061,Name; Financial & Banking Information
6/8/16,Mate1.com,10/1/15,406080,Name; Username and Password/Security Question Answers; Other
6/6/16,"Empathia, Inc.",,602,Name; Social Security Number; Full Date of Birth; Other
5/11/16,Olympia School District,4/12/16,2145,Name; Social Security Number; Financial & Banking Information; Other
5/10/16,Ameris Bank,2/2/16,1,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number
5/10/16,LendUp Processing Center,,708,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers; Other
5/5/16,CertifiKid LLC,1/25/16,31,Name; Financial & Banking Information
5/2/16,Kline Galland Home Care Services,4/4/16,4,Medical Information
4/27/16,AIM Inc.,,1639,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Military ID Number; Passport Number
4/18/16,doTERRA International LLC,3/1/16,41485,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
4/11/16,"Schwaab, Inc.",1/22/14,2162,Name; Financial & Banking Information
3/15/16,Advance Auto Parts,3/7/16,544,Name; Social Security Number; Financial & Banking Information; Other
3/14/16,"Bailey's, Inc.",12/1/11,8844,Name; Financial & Banking Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
3/7/16,Turner Construction Company,3/2/16,566,Name; Social Security Number; Financial & Banking Information; Other
3/4/16,21st Century Oncology,10/3/15,2802,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
2/9/16,Health Care Authority,11/15/13,91187,Name; Social Security Number; Full Date of Birth; Medical Information; Other
2/4/16,"Gyft, Inc.",10/3/15,9042,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
1/29/16,"Landry's, Inc.",5/4/14,Unknown,Name; Financial & Banking Information
1/22/16,Starwood Hotels and Resorts,,Unknown,Name; Financial & Banking Information
1/15/16,MaineGeneral Medical Center,9/11/15,77,Unknown
1/14/16,Hyatt Hotels Corporation,8/13/15,15,Name; Financial & Banking Information
1/13/16,HSBC Bank USA,12/7/15,5270,Name; Social Security Number; Financial & Banking Information; Other
12/31/15,Regional Income Tax Agency,,38,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
12/23/15,"Matson Navigation Company, Inc. and Horizon Lines",11/9/15,2185,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information; Other
12/18/15,"Yapstone, Inc.",7/15/14,5264,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
12/14/15,PeaceHealth,6/15/15,1405,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/30/15,Muji,1/22/15,664,Name; Financial & Banking Information; Other
11/24/15,"Hilton Worldwide, Inc.",,Unknown,Name; Financial & Banking Information; Other
11/13/15,Noble House Hotels and Resorts,12/29/14,4555,Name; Financial & Banking Information
10/28/15,Excellus Blue Cross,8/5/15,1,Health Insurance Policy or ID Number; Other
10/28/15,"Digital Theatre, LLC",4/19/15,3230,Name; Financial & Banking Information; Other
10/13/15,"Service Systems Associates, Inc.",3/24/15,Unknown,Name; Financial & Banking Information
10/9/15,Peggy Olson,9/2/15,26,Name; Social Security Number; Other
10/1/15,Charles Schwab,8/25/15,52,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
10/1/15,T-Mobile USA/Experian,9/15/15,328889,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Military ID Number; Passport Number; Other
9/30/15,"Scottrade Financial Services, Inc.",,18,Name; Other
